,CODIGO_CLIENTE,UF,ULTIMO_SALARIO,MEDIA_SALARIO_ZIP,TEMPO_ULTIMO_EMPREGO_MESES,RECOMENDADO,VLR_RECOM
0,2,MG,4800.0,6100.0,9,NÃO,1300.0
1,7,MG,6800.0,6100.0,19,NÃO,-700.0
2,12,MG,6100.0,6100.0,80,NÃO,0.0
3,19,MG,4800.0,6100.0,9,NÃO,1300.0
4,24,MG,6800.0,6100.0,19,NÃO,-700.0
5,29,MG,6100.0,6100.0,80,NÃO,0.0
6,36,MG,4800.0,6100.0,9,NÃO,1300.0
7,41,MG,6800.0,6100.0,19,NÃO,-700.0
8,46,MG,6100.0,6100.0,80,NÃO,0.0
9,53,MG,4800.0,6100.0,9,NÃO,1300.0
10,58,MG,6800.0,6100.0,19,NÃO,-700.0
11,63,MG,6100.0,6100.0,80,NÃO,0.0
12,70,MG,4800.0,6100.0,9,NÃO,1300.0
13,75,MG,6800.0,6100.0,19,NÃO,-700.0
14,80,MG,6100.0,6100.0,80,NÃO,0.0
15,87,MG,4800.0,6100.0,9,NÃO,1300.0
16,92,MG,6800.0,6100.0,19,NÃO,-700.0
17,97,MG,6100.0,6100.0,80,NÃO,0.0
18,104,MG,4800.0,6100.0,9,NÃO,1300.0
19,109,MG,6800.0,6100.0,19,NÃO,-700.0
20,114,MG,6100.0,6100.0,80,NÃO,0.0
21,121,MG,4800.0,6100.0,9,NÃO,1300.0
22,126,MG,6800.0,6100.0,19,NÃO,-700.0
23,131,MG,6100.0,6100.0,80,NÃO,0.0
24,138,MG,4800.0,6100.0,9,NÃO,1300.0
25,143,MG,6800.0,6100.0,19,NÃO,-700.0
26,148,MG,6100.0,6100.0,80,NÃO,0.0
27,155,MG,4800.0,6100.0,9,NÃO,1300.0
28,160,MG,6800.0,6100.0,19,NÃO,-700.0
29,165,MG,11500.0,6100.0,30,NÃO,-5400.0
30,172,MG,6100.0,6100.0,80,NÃO,0.0
31,177,MG,18300.0,6100.0,150,NÃO,-12200.0
32,182,MG,11500.0,6100.0,30,NÃO,-5400.0
33,189,MG,11500.0,6100.0,30,NÃO,-5400.0
34,194,MG,9800.0,6100.0,120,NÃO,-3700.0
35,199,MG,13000.0,6100.0,90,NÃO,-6900.0
36,206,MG,11500.0,6100.0,30,NÃO,-5400.0
37,211,MG,2200.0,6100.0,18,SIM,3900.0
38,216,MG,22000.0,6100.0,25,NÃO,-15900.0
39,223,MG,13000.0,6100.0,90,NÃO,-6900.0
40,228,MG,2200.0,6100.0,18,SIM,3900.0
41,233,MG,1800.0,6100.0,8,NÃO,4300.0
42,240,MG,22000.0,6100.0,25,NÃO,-15900.0
43,245,MG,9000.0,6100.0,12,NÃO,-2900.0
44,250,MG,1800.0,6100.0,8,NÃO,4300.0
45,258,MG,6100.0,6100.0,80,NÃO,0.0
46,263,MG,18300.0,6100.0,150,NÃO,-12200.0
47,268,MG,11500.0,6100.0,30,NÃO,-5400.0
48,275,MG,11500.0,6100.0,30,NÃO,-5400.0
49,280,MG,9800.0,6100.0,120,NÃO,-3700.0
50,285,MG,13000.0,6100.0,90,NÃO,-6900.0
51,292,MG,17500.0,6100.0,75,NÃO,-11400.0
52,297,MG,4800.0,6100.0,9,NÃO,1300.0
53,302,MG,6800.0,6100.0,19,NÃO,-700.0
54,309,MG,6800.0,6100.0,19,NÃO,-700.0
55,314,MG,6100.0,6100.0,80,NÃO,0.0
56,319,MG,18300.0,6100.0,150,NÃO,-12200.0
57,326,MG,5300.0,6100.0,93,SIM,800.0
58,331,MG,3900.0,6100.0,22,SIM,2200.0
59,336,MG,4800.0,6100.0,9,NÃO,1300.0
60,343,MG,4500.0,6100.0,48,SIM,1600.0
61,353,MG,1800.0,6100.0,8,NÃO,4300.0
62,360,MG,22000.0,6100.0,25,NÃO,-15900.0
63,370,MG,1800.0,6100.0,8,NÃO,4300.0
64,377,MG,4800.0,6100.0,9,NÃO,1300.0
65,387,MG,6100.0,6100.0,80,NÃO,0.0
66,394,MG,4800.0,6100.0,9,NÃO,1300.0
67,404,MG,3100.0,6100.0,14,SIM,3000.0
68,411,MG,9000.0,6100.0,12,NÃO,-2900.0
69,416,MG,1800.0,6100.0,8,NÃO,4300.0
70,421,MG,3100.0,6100.0,14,SIM,3000.0
71,428,MG,6800.0,6100.0,19,NÃO,-700.0
72,433,MG,6100.0,6100.0,80,NÃO,0.0
73,438,MG,18300.0,6100.0,150,NÃO,-12200.0
74,445,MG,1800.0,6100.0,8,NÃO,4300.0
75,450,MG,3100.0,6100.0,14,SIM,3000.0
76,455,MG,15000.0,6100.0,15,NÃO,-8900.0
77,462,MG,1800.0,6100.0,8,NÃO,4300.0
78,467,MG,3100.0,6100.0,14,SIM,3000.0
79,472,MG,11500.0,6100.0,30,NÃO,-5400.0
80,479,MG,6100.0,6100.0,80,NÃO,0.0
81,484,MG,18300.0,6100.0,150,NÃO,-12200.0
82,489,MG,11500.0,6100.0,30,NÃO,-5400.0
83,496,MG,3100.0,6100.0,14,SIM,3000.0
84,501,MG,15000.0,6100.0,15,NÃO,-8900.0
85,506,MG,5300.0,6100.0,93,SIM,800.0
86,584,MG,4800.0,6100.0,9,NÃO,1300.0
87,589,MG,6800.0,6100.0,19,NÃO,-700.0
88,594,MG,6100.0,6100.0,80,NÃO,0.0
89,601,MG,4800.0,6100.0,9,NÃO,1300.0
90,606,MG,6800.0,6100.0,19,NÃO,-700.0
91,611,MG,6100.0,6100.0,80,NÃO,0.0
92,618,MG,4800.0,6100.0,9,NÃO,1300.0
93,623,MG,6800.0,6100.0,19,NÃO,-700.0
94,628,MG,6100.0,6100.0,80,NÃO,0.0
95,635,MG,4800.0,6100.0,9,NÃO,1300.0
96,640,MG,6800.0,6100.0,19,NÃO,-700.0
97,645,MG,6100.0,6100.0,80,NÃO,0.0
98,652,MG,4800.0,6100.0,9,NÃO,1300.0
99,657,MG,6800.0,6100.0,19,NÃO,-700.0
100,662,MG,6100.0,6100.0,80,NÃO,0.0
101,669,MG,4800.0,6100.0,9,NÃO,1300.0
102,674,MG,6800.0,6100.0,19,NÃO,-700.0
103,679,MG,6100.0,6100.0,80,NÃO,0.0
104,686,MG,4800.0,6100.0,9,NÃO,1300.0
105,691,MG,6800.0,6100.0,19,NÃO,-700.0
106,696,MG,6100.0,6100.0,80,NÃO,0.0
107,703,MG,4800.0,6100.0,9,NÃO,1300.0
108,708,MG,6800.0,6100.0,19,NÃO,-700.0
109,713,MG,6100.0,6100.0,80,NÃO,0.0
110,720,MG,4800.0,6100.0,9,NÃO,1300.0
111,725,MG,6800.0,6100.0,19,NÃO,-700.0
112,730,MG,6100.0,6100.0,80,NÃO,0.0
113,737,MG,4800.0,6100.0,9,NÃO,1300.0
114,742,MG,6800.0,6100.0,19,NÃO,-700.0
115,747,MG,11500.0,6100.0,30,NÃO,-5400.0
116,754,MG,6100.0,6100.0,80,NÃO,0.0
117,759,MG,18300.0,6100.0,150,NÃO,-12200.0
118,764,MG,11500.0,6100.0,30,NÃO,-5400.0
119,771,MG,11500.0,6100.0,30,NÃO,-5400.0
120,776,MG,9800.0,6100.0,120,NÃO,-3700.0
121,781,MG,13000.0,6100.0,90,NÃO,-6900.0
122,788,MG,11500.0,6100.0,30,NÃO,-5400.0
123,793,MG,2200.0,6100.0,18,SIM,3900.0
124,798,MG,22000.0,6100.0,25,NÃO,-15900.0
125,805,MG,13000.0,6100.0,90,NÃO,-6900.0
126,810,MG,2200.0,6100.0,18,SIM,3900.0
127,815,MG,1800.0,6100.0,8,NÃO,4300.0
128,822,MG,22000.0,6100.0,25,NÃO,-15900.0
129,827,MG,9000.0,6100.0,12,NÃO,-2900.0
130,832,MG,1800.0,6100.0,8,NÃO,4300.0
131,840,MG,6100.0,6100.0,80,NÃO,0.0
132,845,MG,18300.0,6100.0,150,NÃO,-12200.0
133,850,MG,11500.0,6100.0,30,NÃO,-5400.0
134,857,MG,11500.0,6100.0,30,NÃO,-5400.0
135,862,MG,9800.0,6100.0,120,NÃO,-3700.0
136,867,MG,13000.0,6100.0,90,NÃO,-6900.0
137,874,MG,17500.0,6100.0,75,NÃO,-11400.0
