,CODIGO_CLIENTE,UF,ULTIMO_SALARIO,MEDIA_SALARIO_ZIP,TEMPO_ULTIMO_EMPREGO_MESES,RECOMENDADO,saving
0,2,MG,4800.0,4800.0,9,NÃO,0.0
1,3,SC,2200.0,2200.0,18,NÃO,0.0
2,4,PR,3900.0,3900.0,22,NÃO,0.0
3,5,RJ,8286.0,8286.0,30,NÃO,0.0
4,6,SP,3100.0,3100.0,14,NÃO,0.0
5,7,MG,6800.0,6800.0,19,NÃO,0.0
6,8,SC,22000.0,22000.0,25,NÃO,0.0
7,9,PR,4500.0,4500.0,48,NÃO,0.0
8,10,RJ,9800.0,9800.0,120,NÃO,0.0
9,11,SP,15000.0,15000.0,15,NÃO,0.0
10,12,MG,6100.0,6100.0,80,NÃO,0.0
11,13,SC,9000.0,9000.0,12,NÃO,0.0
12,14,PR,17500.0,17500.0,75,NÃO,0.0
13,15,RJ,13000.0,13000.0,90,NÃO,0.0
14,16,SP,5300.0,5300.0,93,NÃO,0.0
15,17,RJ,18300.0,18300.0,150,NÃO,0.0
16,19,MG,4800.0,4800.0,9,NÃO,0.0
17,20,SC,2200.0,2200.0,18,NÃO,0.0
18,21,PR,3900.0,3900.0,22,NÃO,0.0
19,22,RJ,11500.0,11500.0,30,NÃO,0.0
20,23,SP,3100.0,3100.0,14,NÃO,0.0
21,24,MG,6800.0,6800.0,19,NÃO,0.0
22,25,SC,22000.0,22000.0,25,NÃO,0.0
23,26,PR,4500.0,4500.0,48,NÃO,0.0
24,27,RJ,9800.0,9800.0,120,NÃO,0.0
25,29,MG,6100.0,6100.0,80,NÃO,0.0
26,30,SC,9000.0,9000.0,12,NÃO,0.0
27,31,PR,17500.0,17500.0,75,NÃO,0.0
28,32,RJ,13000.0,13000.0,90,NÃO,0.0
29,33,SP,5300.0,5300.0,93,NÃO,0.0
30,34,RJ,18300.0,18300.0,150,NÃO,0.0
31,36,MG,4800.0,4800.0,9,NÃO,0.0
32,37,SC,2200.0,2200.0,18,NÃO,0.0
33,38,PR,3900.0,3900.0,22,NÃO,0.0
34,39,RJ,11500.0,11500.0,30,NÃO,0.0
35,40,SP,3100.0,3100.0,14,NÃO,0.0
36,41,MG,6800.0,6800.0,19,NÃO,0.0
37,42,SC,22000.0,22000.0,25,NÃO,0.0
38,43,PR,4500.0,4500.0,48,NÃO,0.0
39,44,RJ,9800.0,9800.0,120,NÃO,0.0
40,45,SP,15000.0,15000.0,15,NÃO,0.0
41,46,MG,6100.0,6100.0,80,NÃO,0.0
42,47,SC,9000.0,9000.0,12,NÃO,0.0
43,48,PR,17500.0,17500.0,75,NÃO,0.0
44,49,RJ,13000.0,13000.0,90,NÃO,0.0
45,50,SP,5300.0,5300.0,93,NÃO,0.0
46,51,RJ,18300.0,18300.0,150,NÃO,0.0
47,53,MG,4800.0,4800.0,9,NÃO,0.0
48,54,SC,2200.0,2200.0,18,NÃO,0.0
49,55,PR,3900.0,3900.0,22,NÃO,0.0
50,56,RJ,11500.0,11500.0,30,NÃO,0.0
51,57,SP,3100.0,3100.0,14,NÃO,0.0
52,58,MG,6800.0,6800.0,19,NÃO,0.0
53,59,SC,22000.0,22000.0,25,NÃO,0.0
54,60,PR,4500.0,4500.0,48,NÃO,0.0
55,61,RJ,9800.0,9800.0,120,NÃO,0.0
56,62,SP,15000.0,15000.0,15,NÃO,0.0
57,63,MG,6100.0,6100.0,80,NÃO,0.0
58,64,SC,9000.0,9000.0,12,NÃO,0.0
59,65,PR,17500.0,17500.0,75,NÃO,0.0
60,66,RJ,13000.0,13000.0,90,NÃO,0.0
61,67,SP,5300.0,5300.0,93,NÃO,0.0
62,68,RJ,18300.0,18300.0,150,NÃO,0.0
63,70,MG,4800.0,4800.0,9,NÃO,0.0
64,71,SC,2200.0,2200.0,18,NÃO,0.0
65,72,PR,3900.0,3900.0,22,NÃO,0.0
66,73,RJ,11500.0,11500.0,30,NÃO,0.0
67,74,SP,3100.0,3100.0,14,NÃO,0.0
68,75,MG,6800.0,6800.0,19,NÃO,0.0
69,76,SC,22000.0,22000.0,25,NÃO,0.0
70,77,PR,4500.0,4500.0,48,NÃO,0.0
71,78,RJ,9800.0,9800.0,120,NÃO,0.0
72,79,SP,15000.0,15000.0,15,NÃO,0.0
73,80,MG,6100.0,6100.0,80,NÃO,0.0
74,81,SC,9000.0,9000.0,12,NÃO,0.0
75,82,PR,17500.0,17500.0,75,NÃO,0.0
76,83,RJ,13000.0,13000.0,90,NÃO,0.0
77,84,SP,5300.0,5300.0,93,NÃO,0.0
78,85,RJ,18300.0,18300.0,150,NÃO,0.0
79,87,MG,4800.0,4800.0,9,NÃO,0.0
80,88,SC,2200.0,2200.0,18,NÃO,0.0
81,89,PR,3900.0,3900.0,22,NÃO,0.0
82,90,RJ,11500.0,11500.0,30,NÃO,0.0
83,91,SP,3100.0,3100.0,14,NÃO,0.0
84,92,MG,6800.0,6800.0,19,NÃO,0.0
85,93,SC,22000.0,22000.0,25,NÃO,0.0
86,94,PR,4500.0,4500.0,48,NÃO,0.0
87,95,RJ,9800.0,9800.0,120,NÃO,0.0
88,96,SP,15000.0,15000.0,15,NÃO,0.0
89,97,MG,6100.0,6100.0,80,NÃO,0.0
90,98,SC,9000.0,9000.0,12,NÃO,0.0
91,99,PR,17500.0,17500.0,75,NÃO,0.0
92,100,RJ,13000.0,13000.0,90,NÃO,0.0
93,101,SP,5300.0,5300.0,93,NÃO,0.0
94,102,RJ,18300.0,18300.0,150,NÃO,0.0
95,104,MG,4800.0,4800.0,9,NÃO,0.0
96,105,SC,2200.0,2200.0,18,NÃO,0.0
97,106,PR,3900.0,3900.0,22,NÃO,0.0
98,107,RJ,11500.0,11500.0,30,NÃO,0.0
99,108,SP,3100.0,3100.0,14,NÃO,0.0
100,109,MG,6800.0,6800.0,19,NÃO,0.0
101,110,SC,22000.0,22000.0,25,NÃO,0.0
102,111,PR,4500.0,4500.0,48,NÃO,0.0
103,112,RJ,9800.0,9800.0,120,NÃO,0.0
104,113,SP,15000.0,15000.0,15,NÃO,0.0
105,114,MG,6100.0,6100.0,80,NÃO,0.0
106,115,SC,9000.0,9000.0,12,NÃO,0.0
107,116,PR,17500.0,17500.0,75,NÃO,0.0
108,117,RJ,13000.0,13000.0,90,NÃO,0.0
109,118,SP,5300.0,5300.0,93,NÃO,0.0
110,119,RJ,18300.0,18300.0,150,NÃO,0.0
111,121,MG,4800.0,4800.0,9,NÃO,0.0
112,122,SC,2200.0,2200.0,18,NÃO,0.0
113,123,PR,3900.0,3900.0,22,NÃO,0.0
114,124,RJ,11500.0,11500.0,30,NÃO,0.0
115,125,SP,3100.0,3100.0,14,NÃO,0.0
116,126,MG,6800.0,6800.0,19,NÃO,0.0
117,127,SC,22000.0,22000.0,25,NÃO,0.0
118,128,PR,4500.0,4500.0,48,NÃO,0.0
