,CODIGO_CLIENTE,UF,CLASS_SCORE,IDADE,ULTIMO_SALARIO,MEDIAN_RENDA,SELL_CRED,PROFIT_CRED
0,2,MG,Bom,23,4800.0,4500.0,5280.0,480.0
1,4,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
2,9,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
3,19,MG,Bom,23,4800.0,4500.0,5280.0,480.0
4,21,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
5,26,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
6,36,MG,Bom,23,4800.0,4500.0,5280.0,480.0
7,38,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
8,43,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
9,53,MG,Bom,23,4800.0,4500.0,5280.0,480.0
10,55,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
11,60,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
12,70,MG,Bom,23,4800.0,4500.0,5280.0,480.0
13,72,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
14,77,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
15,87,MG,Bom,23,4800.0,4500.0,5280.0,480.0
16,89,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
17,94,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
18,104,MG,Bom,23,4800.0,4500.0,5280.0,480.0
19,106,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
20,111,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
21,121,MG,Bom,23,4800.0,4500.0,5280.0,480.0
22,123,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
23,128,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
24,138,MG,Bom,23,4800.0,4500.0,5280.0,480.0
25,140,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
26,145,PR,Bom,42,4500.0,4500.0,5850.0,1350.0
27,155,MG,Bom,23,4800.0,4500.0,5280.0,480.0
28,157,PR,Bom,27,3900.0,4500.0,5070.0,1170.0
29,162,PR,Bom,42,4800.0,4500.0,5280.0,480.0
30,164,SP,Bom,48,3900.0,4500.0,5070.0,1170.0
31,169,SP,Bom,62,4500.0,4500.0,5850.0,1350.0
32,179,PR,Bom,42,4800.0,4500.0,5280.0,480.0
33,181,SP,Bom,48,3900.0,4500.0,5070.0,1170.0
34,186,SP,Bom,62,4800.0,4500.0,5280.0,480.0
35,193,SP,Bom,30,4500.0,4500.0,5850.0,1350.0
36,203,SP,Bom,62,4800.0,4500.0,5280.0,480.0
37,210,SP,Bom,30,4800.0,4500.0,5280.0,480.0
38,212,SC,Bom,35,3900.0,4500.0,5070.0,1170.0
39,217,SC,Bom,53,4500.0,4500.0,5850.0,1350.0
40,227,SP,Bom,30,4800.0,4500.0,5280.0,480.0
41,229,SC,Bom,35,3900.0,4500.0,5070.0,1170.0
42,234,SC,Bom,53,4800.0,4500.0,5280.0,480.0
43,236,RJ,Bom,57,3900.0,4500.0,5070.0,1170.0
44,241,SC,Bom,25,4500.0,4500.0,5850.0,1350.0
45,251,SC,Bom,53,4800.0,4500.0,5280.0,480.0
46,253,RJ,Bom,57,3900.0,4500.0,5070.0,1170.0
47,265,PR,Bom,51,4800.0,4500.0,5280.0,480.0
48,267,SP,Bom,55,3900.0,4500.0,5070.0,1170.0
49,272,SP,Bom,23,4800.0,4500.0,5280.0,480.0
50,274,SP,Bom,27,3900.0,4500.0,5070.0,1170.0
51,279,SP,Bom,42,4500.0,4500.0,5850.0,1350.0
52,297,MG,Bom,45,4800.0,4500.0,5280.0,480.0
53,299,PR,Bom,51,3900.0,4500.0,5070.0,1170.0
54,304,PR,Bom,65,4800.0,4500.0,5280.0,480.0
55,306,SP,Bom,23,3900.0,4500.0,5070.0,1170.0
56,311,PR,Bom,32,4500.0,4500.0,5850.0,1350.0
57,329,RJ,Bom,35,4800.0,4500.0,5280.0,480.0
58,331,MG,Bom,45,3900.0,4500.0,5070.0,1170.0
59,336,MG,Bom,30,4800.0,4500.0,5280.0,480.0
60,338,PR,Bom,35,3900.0,4500.0,5070.0,1170.0
61,343,MG,Bom,53,4500.0,4500.0,5850.0,1350.0
62,354,SC,Bom,32,4800.0,4500.0,5280.0,480.0
63,356,RJ,Bom,42,3900.0,4500.0,5070.0,1170.0
64,361,SC,Bom,55,4500.0,4500.0,5850.0,1350.0
65,371,SC,Bom,32,4800.0,4500.0,5280.0,480.0
66,373,RJ,Bom,42,3900.0,4500.0,5070.0,1170.0
67,377,MG,Bom,53,4800.0,4500.0,5280.0,480.0
68,379,PR,Bom,57,3900.0,4500.0,5070.0,1170.0
69,384,PR,Bom,25,4500.0,4500.0,5850.0,1350.0
70,394,MG,Bom,53,4800.0,4500.0,5280.0,480.0
71,396,PR,Bom,57,3900.0,4500.0,5070.0,1170.0
72,400,SC,Bom,23,4800.0,4500.0,5280.0,480.0
73,402,RJ,Bom,27,3900.0,4500.0,5070.0,1170.0
74,407,RJ,Bom,42,4500.0,4500.0,5850.0,1350.0
75,417,SC,Bom,45,4800.0,4500.0,5280.0,480.0
76,419,RJ,Bom,51,3900.0,4500.0,5070.0,1170.0
77,423,PR,Bom,62,4800.0,4500.0,5280.0,480.0
78,430,PR,Bom,30,4500.0,4500.0,5850.0,1350.0
79,440,PR,Bom,62,4800.0,4500.0,5280.0,480.0
80,446,SC,Bom,28,4800.0,4500.0,5280.0,480.0
81,448,RJ,Bom,32,3900.0,4500.0,5070.0,1170.0
82,453,RJ,Bom,51,4500.0,4500.0,5850.0,1350.0
83,463,SC,Bom,28,4800.0,4500.0,5280.0,480.0
84,465,RJ,Bom,32,3900.0,4500.0,5070.0,1170.0
85,469,PR,Bom,48,4800.0,4500.0,5280.0,480.0
86,471,SP,Bom,53,3900.0,4500.0,5070.0,1170.0
87,486,PR,Bom,48,4800.0,4500.0,5280.0,480.0
88,488,SP,Bom,23,3900.0,4500.0,5070.0,1170.0
89,492,RJ,Bom,35,4800.0,4500.0,5280.0,480.0
90,494,RJ,Bom,45,3900.0,4500.0,5070.0,1170.0
91,499,RJ,Bom,57,4500.0,4500.0,5850.0,1350.0
92,509,RJ,Bom,35,4800.0,4500.0,5280.0,480.0
93,511,RJ,Bom,45,3900.0,4500.0,5070.0,1170.0
